Fach 1;Lfd. Nr.;Fach 1;Fach 2;Datum / Uhrzeit;Kollisionen;Abstand
;3;Analysis 2.--.1252322010.--.2323.--.BAK;Lineare Algebra 2.--.1252323010.--.2323.--.BAK;Kein Datum gef;1;
Analysis 3.--.1222124010.--.212.--.MB;;;;Kein Datum gef;;
;1;Analysis 3.--.1222124010.--.212.--.MB;Differentialgleichungen.--.1222126030.--.212.--.MB;Kein Datum gef;1;
Analysis 3.--.1222224010.--.222.--.BAM;;;;Kein Datum gef;;
;1;Analysis 3.--.1222224010.--.222.--.BAM;Software Engineering.--.1222223020.--.222.--.BAM;Kein Datum gef;1;
;2;Analysis 3.--.1222224010.--.222.--.BAM;Numerik.--.1222223010.--.222.--.BAM;Kein Datum gef;1;
;3;Analysis 3.--.1222224010.--.222.--.BAM;Datenbanksysteme.--.1222226010.--.222.--.BAM;Kein Datum gef;1;
Angewandte Mathematik 2.--.22212010.--.221.--.KE;;;;Kein Datum gef;;
;1;Angewandte Mathematik 2.--.22212010.--.221.--.KE;Gebäudetechnik 1.--.22211030.--.221.--.KE;Kein Datum gef;1;
;2;Angewandte Mathematik 2.--.22212010.--.221.--.KE;Physikalische Grundlagen 2.--.22212020.--.221.--.KE;Kein Datum gef;11;
;3;Angewandte Mathematik 2.--.22212010.--.221.--.KE;Physikalische Grundlagen 1.--.22211020.--.221.--.KE;Kein Datum gef;1;
;4;Angewandte Mathematik 2.--.22212010.--.221.--.KE;Gebäudetechnik 2.--.22212030.--.221.--.KE;Kein Datum gef;10;
;5;Angewandte Mathematik 2.--.22212010.--.221.--.KE;Simulationswerkzeuge 1.--.22212040.--.221.--.KE;Kein Datum gef;5;
Angewandte Mathematik 3.--.3030.--.182.--.PB;;;;Kein Datum gef;;
;1;Angewandte Mathematik 3.--.3030.--.182.--.PB;Wärmeschutz 1.--.3020.--.182.--.PB;Kein Datum gef;11;
;2;Angewandte Mathematik 3.--.3030.--.182.--.PB;Energietechnik 1.--.3050.--.182.--.PB;Kein Datum gef;11;
;3;Angewandte Mathematik 3.--.3030.--.182.--.PB;Energietechnik 2.--.4050.--.182.--.PB;Kein Datum gef;1;
;4;Angewandte Mathematik 3.--.3030.--.182.--.PB;Wärmeschutz 2.--.4020.--.182.--.PB;Kein Datum gef;1;
;5;Angewandte Mathematik 3.--.3030.--.182.--.PB;Mathematik 4.--.4030.--.182.--.PB;Kein Datum gef;1;
;6;Angewandte Mathematik 3.--.3030.--.182.--.PB;Mathematik 2.--.2030.--.182.--.PB;Kein Datum gef;1;
;7;Angewandte Mathematik 3.--.3030.--.182.--.PB;Schallschutz 1.--.3010.--.182.--.PB;Kein Datum gef;11;
Arbeitsschutz.--.601925011.--.192.--.BB;;;;Kein Datum gef;;
;1;Arbeitsschutz.--.601925011.--.192.--.BB;Wasserwirtschaft und Wasserbau I.--.601924060.--.192.--.BB;Kein Datum gef;28;
;2;Arbeitsschutz.--.601925011.--.192.--.BB;Stahlbau I.--.601923030.--.192.--.BB;Kein Datum gef;3;
;3;Arbeitsschutz.--.601925011.--.192.--.BB;Geotechnik II.--.601923020.--.192.--.BB;Kein Datum gef;4;
;4;Arbeitsschutz.--.601925011.--.192.--.BB;Siedlungswasserwirtschaft I.--.601924050.--.192.--.BB;Kein Datum gef;24;
;5;Arbeitsschutz.--.601925011.--.192.--.BB;Stahlbetonbau I.--.601924020.--.192.--.BB;Kein Datum gef;20;
;6;Arbeitsschutz.--.601925011.--.192.--.BB;Ingenieurholzbau I.--.601924030.--.192.--.BB;Kein Datum gef;25;
;7;Arbeitsschutz.--.601925011.--.192.--.BB;Geotechnik III.--.601924010.--.192.--.BB;Kein Datum gef;27;
;8;Arbeitsschutz.--.601925011.--.192.--.BB;Verkehrswesen II.--.601924040.--.192.--.BB;Kein Datum gef;24;
;9;Arbeitsschutz.--.601925011.--.192.--.BB;Baustatik I.--.601923010.--.192.--.BB;Kein Datum gef;14;
;10;Arbeitsschutz.--.601925011.--.192.--.BB;Bauproduktionstechnik.--.601923060.--.192.--.BB;Kein Datum gef;4;
;11;Arbeitsschutz.--.601925011.--.192.--.BB;Wasserwesen.--.601923050.--.192.--.BB;Kein Datum gef;1;
;12;Arbeitsschutz.--.601925011.--.192.--.BB;Baubetriebsplanung.--.601924070.--.192.--.BB;Kein Datum gef;20;
Arbeitsschutz.--.622224010.--.222.--.IM;;;;Kein Datum gef;;
;1;Arbeitsschutz.--.622224010.--.222.--.IM;Energie 2 - Netzgebundene Energien.--.622223020.--.222.--.IM;Kein Datum gef;19;
;2;Arbeitsschutz.--.622224010.--.222.--.IM;Wirtschaftslehre 2.--.622223080.--.222.--.IM;Kein Datum gef;21;
;3;Arbeitsschutz.--.622224010.--.222.--.IM;Verkehrsinfrastruktur 2.--.622223060.--.222.--.IM;Kein Datum gef;19;
;4;Arbeitsschutz.--.622224010.--.222.--.IM;Wirtschaftslehre 5.--.622227010.--.222.--.IM;Kein Datum gef;1;
;5;Arbeitsschutz.--.622224010.--.222.--.IM;Physik für Ingenieure.--.622221040.--.222.--.IM;Kein Datum gef;2;
;6;Arbeitsschutz.--.622224010.--.222.--.IM;Innovative Verfahren im Straßenbau.--.19140.--.222.--.IM;Kein Datum gef;1;
;7;Arbeitsschutz.--.622224010.--.222.--.IM;Projektmanagement und -entwicklung 2.--.622223070.--.222.--.IM;Kein Datum gef;18;
;8;Arbeitsschutz.--.622224010.--.222.--.IM;Projektmanagement und -entwicklung 3.--.622225020.--.222.--.IM;Kein Datum gef;1;
;9;Arbeitsschutz.--.622224010.--.222.--.IM;Recht 1.--.622223040.--.222.--.IM;Kein Datum gef;20;
;10;Arbeitsschutz.--.622224010.--.222.--.IM;Baustoffe u. Geotechnik 2.--.622222020.--.222.--.IM;Kein Datum gef;5;
;11;Arbeitsschutz.--.622224010.--.222.--.IM;Verkehrsinfrastruktur 3.--.622226030.--.222.--.IM;Kein Datum gef;1;
;12;Arbeitsschutz.--.622224010.--.222.--.IM;Recht 2.--.622227020.--.222.--.IM;Kein Datum gef;1;
;13;Arbeitsschutz.--.622224010.--.222.--.IM;Wirtschaftslehre 1.--.622221050.--.222.--.IM;Kein Datum gef;3;
;14;Arbeitsschutz.--.622224010.--.222.--.IM;Wirtschaftsenglisch.--.622223092.--.222.--.IM;Kein Datum gef;20;
;15;Arbeitsschutz.--.622224010.--.222.--.IM;Mathematik 2.--.622222010.--.222.--.IM;Kein Datum gef;10;
;16;Arbeitsschutz.--.622224010.--.222.--.IM;Nachhaltigkeit, Umwelt, Verantwortung.--.622223010.--.222.--.IM;Kein Datum gef;20;
;17;Arbeitsschutz.--.622224010.--.222.--.IM;Projektmanagement und -entwicklung 1.--.622222050.--.222.--.IM;Kein Datum gef;2;
;18;Arbeitsschutz.--.622224010.--.222.--.IM;Wirtschaftslehre 3.--.622225040.--.222.--.IM;Kein Datum gef;2;
;19;Arbeitsschutz.--.622224010.--.222.--.IM;Informations- und Kommunikationstechnik.--.622223030.--.222.--.IM;Kein Datum gef;21;
;20;Arbeitsschutz.--.622224010.--.222.--.IM;Wasserfachliche Grundlagen.--.622223050.--.222.--.IM;Kein Datum gef;19;
;21;Arbeitsschutz.--.622224010.--.222.--.IM;Laborpraktikum im Straßenbauwesen.--.19170.--.222.--.IM;Kein Datum gef;1;
Arbeitsschutz.--.642014060.--.201.--.WBI;;;;Kein Datum gef;;
;1;Arbeitsschutz.--.642014060.--.201.--.WBI;Schlüsselfertigbau.--.642014050.--.201.--.WBI;Kein Datum gef;11;
;2;Arbeitsschutz.--.642014060.--.201.--.WBI;Baumanagement III.--.642014030.--.201.--.WBI;Kein Datum gef;10;
;3;Arbeitsschutz.--.642014060.--.201.--.WBI;Baustatik.--.642013030.--.201.--.WBI;Kein Datum gef;3;
;4;Arbeitsschutz.--.642014060.--.201.--.WBI;Baumanagement II.--.642013040.--.201.--.WBI;Kein Datum gef;2;
;5;Arbeitsschutz.--.642014060.--.201.--.WBI;Baukonstruktion und Brandschutz.--.642013020.--.201.--.WBI;Kein Datum gef;3;
;6;Arbeitsschutz.--.642014060.--.201.--.WBI;Konstruktiver Ingenieurbau.--.642014010.--.201.--.WBI;Kein Datum gef;10;
;7;Arbeitsschutz.--.642014060.--.201.--.WBI;Wärmeschutz und Energietechnik I.--.642014020.--.201.--.WBI;Kein Datum gef;10;
;8;Arbeitsschutz.--.642014060.--.201.--.WBI;Architektur und Städtebau.--.642013010.--.201.--.WBI;Kein Datum gef;2;
;9;Arbeitsschutz.--.642014060.--.201.--.WBI;Immobilenwirtschaft I.--.642013060.--.201.--.WBI;Kein Datum gef;3;
;10;Arbeitsschutz.--.642014060.--.201.--.WBI;Bilanzierung und Steuerlehre.--.642013050.--.201.--.WBI;Kein Datum gef;1;
;11;Arbeitsschutz.--.642014060.--.201.--.WBI;Investition und Finanzierung.--.642014040.--.201.--.WBI;Kein Datum gef;9;
Architektur und Städtebau.--.642013010.--.201.--.WBI;;;;Kein Datum gef;;
;1;Architektur und Städtebau.--.642013010.--.201.--.WBI;Arbeitsschutz.--.642014060.--.201.--.WBI;Kein Datum gef;2;
;2;Architektur und Städtebau.--.642013010.--.201.--.WBI;Schlüsselfertigbau.--.642014050.--.201.--.WBI;Kein Datum gef;1;
;3;Architektur und Städtebau.--.642013010.--.201.--.WBI;Baustatik.--.642013030.--.201.--.WBI;Kein Datum gef;24;
;4;Architektur und Städtebau.--.642013010.--.201.--.WBI;Baumanagement 1.--.642012040.--.201.--.WBI;Kein Datum gef;7;
;5;Architektur und Städtebau.--.642013010.--.201.--.WBI;Baumanagement II.--.642013040.--.201.--.WBI;Kein Datum gef;23;
;6;Architektur und Städtebau.--.642013010.--.201.--.WBI;Baukonstruktion und Brandschutz.--.642013020.--.201.--.WBI;Kein Datum gef;24;
;7;Architektur und Städtebau.--.642013010.--.201.--.WBI;Betriebswirtschaft.--.642011050.--.201.--.WBI;Kein Datum gef;1;
;8;Architektur und Städtebau.--.642013010.--.201.--.WBI;Rechnungswesen.--.642012050.--.201.--.WBI;Kein Datum gef;2;
;9;Architektur und Städtebau.--.642013010.--.201.--.WBI;Bilanzierung und Steuerlehre.--.642013050.--.201.--.WBI;Kein Datum gef;18;
;10;Architektur und Städtebau.--.642013010.--.201.--.WBI;Immobilenwirtschaft I.--.642013060.--.201.--.WBI;Kein Datum gef;22;
;11;Architektur und Städtebau.--.642013010.--.201.--.WBI;Investition und Finanzierung.--.642014040.--.201.--.WBI;Kein Datum gef;1;
Ausgleichungsrechnung und Statistik.--.3010.--.182.--.VB;;;;Kein Datum gef;;
;1;Ausgleichungsrechnung und Statistik.--.3010.--.182.--.VB;Physik.--.2020.--.182.--.VB;Kein Datum gef;2;
;2;Ausgleichungsrechnung und Statistik.--.3010.--.182.--.VB;Mathematik 2.--.2010.--.182.--.VB;Kein Datum gef;2;
;3;Ausgleichungsrechnung und Statistik.--.3010.--.182.--.VB;Satellitengestütze Postitionsbestimmung.--.2040.--.182.--.VB;Kein Datum gef;1;
;4;Ausgleichungsrechnung und Statistik.--.3010.--.182.--.VB;Ingenieurbau und Ingenieurvermessung.--.3020.--.182.--.VB;Kein Datum gef;34;
;5;Ausgleichungsrechnung und Statistik.--.3010.--.182.--.VB;Geodätische Mess- und Auswertetechnik (Polarverfahren).--.1020.--.182.--.VB;Kein Datum gef;1;
;6;Ausgleichungsrechnung und Statistik.--.3010.--.182.--.VB;Nahbereichsvermessung.--.4020.--.182.--.VB;Kein Datum gef;1;
;7;Ausgleichungsrechnung und Statistik.--.3010.--.182.--.VB;Räumliche Datenbanken und Datenmodellierung.--.3030.--.182.--.VB;Kein Datum gef;34;
;8;Ausgleichungsrechnung und Statistik.--.3010.--.182.--.VB;Geodaten.--.3040.--.182.--.VB;Kein Datum gef;33;
Automatisierung von Geschäftsprozessen.--.932112030.--.211.--.DPT;;;;Kein Datum gef;;
;1;Automatisierung von Geschäftsprozessen.--.932112030.--.211.--.DPT;IT-Infrastrukturmanagement.--.17140.--.211.--.DPT;Kein Datum gef;3;
;2;Automatisierung von Geschäftsprozessen.--.932112030.--.211.--.DPT;Moderne Software-Architekturen.--.932112040.--.211.--.DPT;Kein Datum gef;11;
;3;Automatisierung von Geschäftsprozessen.--.932112030.--.211.--.DPT;Green IT.--.18230.--.211.--.DPT;Kein Datum gef;4;
;4;Automatisierung von Geschäftsprozessen.--.932112030.--.211.--.DPT;Digitalisierung in der Produktion.--.932112020.--.211.--.DPT;Kein Datum gef;11;
Automatisierung von Geschäftsprozessen.--.932112030.--.2112.--.DPT;;;;Kein Datum gef;;
;1;Automatisierung von Geschäftsprozessen.--.932112030.--.2112.--.DPT;Wahlpflichtmodul Wirtschaftsinformatik.--.1075.--.2112.--.DPT;Kein Datum gef;1;
;2;Automatisierung von Geschäftsprozessen.--.932112030.--.2112.--.DPT;Software Engineering II.--.932111030.--.2112.--.DPT;Kein Datum gef;1;
;3;Automatisierung von Geschäftsprozessen.--.932112030.--.2112.--.DPT;Wahlpflichtmodul Informatik.--.1065.--.2112.--.DPT;Kein Datum gef;1;
;4;Automatisierung von Geschäftsprozessen.--.932112030.--.2112.--.DPT;Moderne Software-Architekturen.--.932112040.--.2112.--.DPT;Kein Datum gef;5;
;5;Automatisierung von Geschäftsprozessen.--.932112030.--.2112.--.DPT;Green IT.--.18230.--.2112.--.DPT;Kein Datum gef;1;
;6;Automatisierung von Geschäftsprozessen.--.932112030.--.2112.--.DPT;Digitalisierung in der Produktion.--.932112020.--.2112.--.DPT;Kein Datum gef;1;
Bachelor - Thesis.--.8999.--.182.--.PB;;;;Kein Datum gef;;
;1;Bachelor - Thesis.--.8999.--.182.--.PB;Körperschall (innovativer Lärmschutz).--.17100.--.182.--.PB;Kein Datum gef;2;
;2;Bachelor - Thesis.--.8999.--.182.--.PB;Theoretische Bauphysik Schall.--.7010.--.182.--.PB;Kein Datum gef;2;
Bahntechnik.--.17260.--.162.--.VIS;;;;Kein Datum gef;;
;1;Bahntechnik.--.17260.--.162.--.VIS;ÖPNV Straße und Schiene.--.1030.--.162.--.VIS;Kein Datum gef;1;
;2;Bahntechnik.--.17260.--.162.--.VIS;Transportlogistik.--.1040.--.162.--.VIS;Kein Datum gef;1;
;3;Bahntechnik.--.17260.--.162.--.VIS;Betrieb von Straßen.--.1020.--.162.--.VIS;Kein Datum gef;1;
Bahntechnik.--.19100.--.222.--.IM;;;;Kein Datum gef;;
;1;Bahntechnik.--.19100.--.222.--.IM;Energie 3.--.622225010.--.222.--.IM;Kein Datum gef;2;
;2;Bahntechnik.--.19100.--.222.--.IM;Wasserversorgung 2 Schwerpunkt Energie und Wasser.--.17120.--.222.--.IM;Kein Datum gef;4;
;3;Bahntechnik.--.19100.--.222.--.IM;Wirtschaftslehre 4.--.622226010.--.222.--.IM;Kein Datum gef;9;
;4;Bahntechnik.--.19100.--.222.--.IM;Wirtschaftslehre 5.--.622227010.--.222.--.IM;Kein Datum gef;4;
;5;Bahntechnik.--.19100.--.222.--.IM;Innovative Verfahren im Straßenbau.--.19140.--.222.--.IM;Kein Datum gef;6;
;6;Bahntechnik.--.19100.--.222.--.IM;Verkehrsinfrastruktur 3.--.622226030.--.222.--.IM;Kein Datum gef;12;
;7;Bahntechnik.--.19100.--.222.--.IM;Recht 2.--.622227020.--.222.--.IM;Kein Datum gef;5;
;8;Bahntechnik.--.19100.--.222.--.IM;Abfallwirtschaft.--.622227050.--.222.--.IM;Kein Datum gef;5;
;9;Bahntechnik.--.19100.--.222.--.IM;Siedlungswasserwirtschaft.--.622225030.--.222.--.IM;Kein Datum gef;2;
;10;Bahntechnik.--.19100.--.222.--.IM;Baustellenmanagement Projektmanagement.--.18130.--.222.--.IM;Kein Datum gef;1;
;11;Bahntechnik.--.19100.--.222.--.IM;Nachhaltigkeit, Umwelt, Verantwortung.--.622223010.--.222.--.IM;Kein Datum gef;1;
;12;Bahntechnik.--.19100.--.222.--.IM;Brandschutz Projektmanagement.--.18100.--.222.--.IM;Kein Datum gef;4;
;13;Bahntechnik.--.19100.--.222.--.IM;Internationaler ÖPNV.--.19130.--.222.--.IM;Kein Datum gef;2;
Bankbetriebslehre.--.1222123130.--.212.--.MB;;;;Kein Datum gef;;
;1;Bankbetriebslehre.--.1222123130.--.212.--.MB;Datenbanksysteme.--.1222127010.--.212.--.MB;Kein Datum gef;1;
Bankbetriebslehre.--.1222223060.--.222.--.BAM;;;;Kein Datum gef;;
;1;Bankbetriebslehre.--.1222223060.--.222.--.BAM;Software Engineering.--.1222223020.--.222.--.BAM;Kein Datum gef;1;
;2;Bankbetriebslehre.--.1222223060.--.222.--.BAM;Numerik.--.1222223010.--.222.--.BAM;Kein Datum gef;1;
;3;Bankbetriebslehre.--.1222223060.--.222.--.BAM;Versicherungsbetriebslehre.--.1222223050.--.222.--.BAM;Kein Datum gef;1;
;4;Bankbetriebslehre.--.1222223060.--.222.--.BAM;Algebra.--.17100.--.222.--.BAM;Kein Datum gef;1;
Bau- und Immobilienwirtschaft.--.622222060.--.222.--.IM;;;;Kein Datum gef;;
;1;Bau- und Immobilienwirtschaft.--.622222060.--.222.--.IM;Baustoffe u. Geotechnik 1.--.622221060.--.222.--.IM;Kein Datum gef;10;
;2;Bau- und Immobilienwirtschaft.--.622222060.--.222.--.IM;Mathematik 2.--.622222010.--.222.--.IM;Kein Datum gef;19;
;3;Bau- und Immobilienwirtschaft.--.622222060.--.222.--.IM;Physik für Ingenieure.--.622221040.--.222.--.IM;Kein Datum gef;13;
