Fach 1;Lfd. Nr.;Fach 1;Fach 2;Datum / Uhrzeit;Kollisionen;Abstand
;7;IT-Sicherheit.--.1242123050.--.212.--.WI;Statistik.--.1242124010.--.212.--.WI;Kein Datum gef;4;
;8;IT-Sicherheit.--.1242123050.--.212.--.WI;Green IT.--.18100.--.212.--.WI;Kein Datum gef;1;
;9;IT-Sicherheit.--.1242123050.--.212.--.WI;Logistik.--.1242124020.--.212.--.WI;Kein Datum gef;2;
;10;IT-Sicherheit.--.1242123050.--.212.--.WI;Kosten- und Leistungsrechnung.--.1242123030.--.212.--.WI;Kein Datum gef;45;
;11;IT-Sicherheit.--.1242123050.--.212.--.WI;Software Technik.--.1242124030.--.212.--.WI;Kein Datum gef;2;
;12;IT-Sicherheit.--.1242123050.--.212.--.WI;Organisationspsychologie.--.17450.--.212.--.WI;Kein Datum gef;1;
Immobilenwirtschaft I.--.642013060.--.201.--.WBI;;;;Kein Datum gef;;
;1;Immobilenwirtschaft I.--.642013060.--.201.--.WBI;Arbeitsschutz.--.642014060.--.201.--.WBI;Kein Datum gef;3;
;2;Immobilenwirtschaft I.--.642013060.--.201.--.WBI;Baumanagement III.--.642014030.--.201.--.WBI;Kein Datum gef;2;
;3;Immobilenwirtschaft I.--.642013060.--.201.--.WBI;Baumanagement 1.--.642012040.--.201.--.WBI;Kein Datum gef;5;
;4;Immobilenwirtschaft I.--.642013060.--.201.--.WBI;Architektur und Städtebau.--.642013010.--.201.--.WBI;Kein Datum gef;22;
;5;Immobilenwirtschaft I.--.642013060.--.201.--.WBI;Konstruktiver Ingenieurbau.--.642014010.--.201.--.WBI;Kein Datum gef;2;
;6;Immobilenwirtschaft I.--.642013060.--.201.--.WBI;Investition und Finanzierung.--.642014040.--.201.--.WBI;Kein Datum gef;3;
;7;Immobilenwirtschaft I.--.642013060.--.201.--.WBI;Schlüsselfertigbau.--.642014050.--.201.--.WBI;Kein Datum gef;3;
;8;Immobilenwirtschaft I.--.642013060.--.201.--.WBI;Baustatik.--.642013030.--.201.--.WBI;Kein Datum gef;24;
;9;Immobilenwirtschaft I.--.642013060.--.201.--.WBI;Baumanagement II.--.642013040.--.201.--.WBI;Kein Datum gef;21;
;10;Immobilenwirtschaft I.--.642013060.--.201.--.WBI;Baukonstruktion und Brandschutz.--.642013020.--.201.--.WBI;Kein Datum gef;22;
;11;Immobilenwirtschaft I.--.642013060.--.201.--.WBI;Betriebswirtschaft.--.642011050.--.201.--.WBI;Kein Datum gef;1;
;12;Immobilenwirtschaft I.--.642013060.--.201.--.WBI;Rechnungswesen.--.642012050.--.201.--.WBI;Kein Datum gef;2;
;13;Immobilenwirtschaft I.--.642013060.--.201.--.WBI;Wärmeschutz und Energietechnik I.--.642014020.--.201.--.WBI;Kein Datum gef;2;
;14;Immobilenwirtschaft I.--.642013060.--.201.--.WBI;Bilanzierung und Steuerlehre.--.642013050.--.201.--.WBI;Kein Datum gef;20;
Immobilienfinanzierung und-investition.--.17140.--.201.--.WBI;;;;Kein Datum gef;;
;1;Immobilienfinanzierung und-investition.--.17140.--.201.--.WBI;Haustechnik für Wirtschaftsingenieure.--.17110.--.201.--.WBI;Kein Datum gef;1;
;2;Immobilienfinanzierung und-investition.--.17140.--.201.--.WBI;Nachhaltige und ressourceneffiziente Geschossbauten.--.17160.--.201.--.WBI;Kein Datum gef;8;
;3;Immobilienfinanzierung und-investition.--.17140.--.201.--.WBI;Recht II.--.642016030.--.201.--.WBI;Kein Datum gef;9;
;4;Immobilienfinanzierung und-investition.--.17140.--.201.--.WBI;Energietechnik II.--.642016020.--.201.--.WBI;Kein Datum gef;11;
;5;Immobilienfinanzierung und-investition.--.17140.--.201.--.WBI;Recht III.--.642017010.--.201.--.WBI;Kein Datum gef;3;
;6;Immobilienfinanzierung und-investition.--.17140.--.201.--.WBI;Baustatik.--.642013030.--.201.--.WBI;Kein Datum gef;1;
;7;Immobilienfinanzierung und-investition.--.17140.--.201.--.WBI;Betriebliches Immobilienmanagement.--.17000.--.201.--.WBI;Kein Datum gef;2;
;8;Immobilienfinanzierung und-investition.--.17140.--.201.--.WBI;Internat.Bauen und Bauvertragsrecht.--.19000.--.201.--.WBI;Kein Datum gef;1;
;9;Immobilienfinanzierung und-investition.--.17140.--.201.--.WBI;Immobilienwirtschaft II.--.642016010.--.201.--.WBI;Kein Datum gef;6;
;10;Immobilienfinanzierung und-investition.--.17140.--.201.--.WBI;Bilanzierung und Steuerlehre.--.642013050.--.201.--.WBI;Kein Datum gef;1;
;11;Immobilienfinanzierung und-investition.--.17140.--.201.--.WBI;Projektsteuerung/Projektmanagement in der Bau- und Immobilienwirtschaft.--.17190.--.201.--.WBI;Kein Datum gef;6;
;12;Immobilienfinanzierung und-investition.--.17140.--.201.--.WBI;Straßenbautechnik.--.16030.--.201.--.WBI;Kein Datum gef;5;
;13;Immobilienfinanzierung und-investition.--.17140.--.201.--.WBI;Lean Managemet.--.19010.--.201.--.WBI;Kein Datum gef;1;
Immobilienmanagement.--.982121030.--.212.--.BPM;;;;Kein Datum gef;;
;1;Immobilienmanagement.--.982121030.--.212.--.BPM;Bauprozesse.--.982121020.--.212.--.BPM;Kein Datum gef;20;
Immobilienwirtschaft II.--.642016010.--.201.--.WBI;;;;Kein Datum gef;;
;1;Immobilienwirtschaft II.--.642016010.--.201.--.WBI;Haustechnik für Wirtschaftsingenieure.--.17110.--.201.--.WBI;Kein Datum gef;1;
;2;Immobilienwirtschaft II.--.642016010.--.201.--.WBI;Nachhaltige und ressourceneffiziente Geschossbauten.--.17160.--.201.--.WBI;Kein Datum gef;9;
;3;Immobilienwirtschaft II.--.642016010.--.201.--.WBI;Recht II.--.642016030.--.201.--.WBI;Kein Datum gef;11;
;4;Immobilienwirtschaft II.--.642016010.--.201.--.WBI;Energietechnik II.--.642016020.--.201.--.WBI;Kein Datum gef;14;
;5;Immobilienwirtschaft II.--.642016010.--.201.--.WBI;Recht III.--.642017010.--.201.--.WBI;Kein Datum gef;5;
;6;Immobilienwirtschaft II.--.642016010.--.201.--.WBI;Nachhaltigkeit, Umwelt, Verantwortung.--.17170.--.201.--.WBI;Kein Datum gef;1;
;7;Immobilienwirtschaft II.--.642016010.--.201.--.WBI;Elektrizitätsversorgung.--.16010.--.201.--.WBI;Kein Datum gef;1;
;8;Immobilienwirtschaft II.--.642016010.--.201.--.WBI;Betriebliches Immobilienmanagement.--.17000.--.201.--.WBI;Kein Datum gef;3;
;9;Immobilienwirtschaft II.--.642016010.--.201.--.WBI;Internat.Bauen und Bauvertragsrecht.--.19000.--.201.--.WBI;Kein Datum gef;1;
;10;Immobilienwirtschaft II.--.642016010.--.201.--.WBI;Immobilienfinanzierung und-investition.--.17140.--.201.--.WBI;Kein Datum gef;6;
;11;Immobilienwirtschaft II.--.642016010.--.201.--.WBI;Bilanzierung und Steuerlehre.--.642013050.--.201.--.WBI;Kein Datum gef;1;
;12;Immobilienwirtschaft II.--.642016010.--.201.--.WBI;Projektsteuerung/Projektmanagement in der Bau- und Immobilienwirtschaft.--.17190.--.201.--.WBI;Kein Datum gef;5;
;13;Immobilienwirtschaft II.--.642016010.--.201.--.WBI;Gasversorgung.--.16000.--.201.--.WBI;Kein Datum gef;1;
;14;Immobilienwirtschaft II.--.642016010.--.201.--.WBI;Straßenbautechnik.--.16030.--.201.--.WBI;Kein Datum gef;7;
;15;Immobilienwirtschaft II.--.642016010.--.201.--.WBI;Lean Managemet.--.19010.--.201.--.WBI;Kein Datum gef;2;
Informations- und Kommunikationstechnik.--.622223030.--.222.--.IM;;;;Kein Datum gef;;
;1;Informations- und Kommunikationstechnik.--.622223030.--.222.--.IM;Energie 2 - Netzgebundene Energien.--.622223020.--.222.--.IM;Kein Datum gef;19;
;2;Informations- und Kommunikationstechnik.--.622223030.--.222.--.IM;Wirtschaftslehre 2.--.622223080.--.222.--.IM;Kein Datum gef;22;
;3;Informations- und Kommunikationstechnik.--.622223030.--.222.--.IM;Verkehrsinfrastruktur 2.--.622223060.--.222.--.IM;Kein Datum gef;20;
;4;Informations- und Kommunikationstechnik.--.622223030.--.222.--.IM;Physik für Ingenieure.--.622221040.--.222.--.IM;Kein Datum gef;2;
;5;Informations- und Kommunikationstechnik.--.622223030.--.222.--.IM;Projektmanagement und -entwicklung 2.--.622223070.--.222.--.IM;Kein Datum gef;18;
;6;Informations- und Kommunikationstechnik.--.622223030.--.222.--.IM;Recht 1.--.622223040.--.222.--.IM;Kein Datum gef;20;
;7;Informations- und Kommunikationstechnik.--.622223030.--.222.--.IM;Projektmanagement und -entwicklung 3.--.622225020.--.222.--.IM;Kein Datum gef;2;
;8;Informations- und Kommunikationstechnik.--.622223030.--.222.--.IM;Baustoffe u. Geotechnik 2.--.622222020.--.222.--.IM;Kein Datum gef;5;
;9;Informations- und Kommunikationstechnik.--.622223030.--.222.--.IM;Wirtschaftslehre 1.--.622221050.--.222.--.IM;Kein Datum gef;3;
;10;Informations- und Kommunikationstechnik.--.622223030.--.222.--.IM;Wirtschaftsenglisch.--.622223092.--.222.--.IM;Kein Datum gef;20;
;11;Informations- und Kommunikationstechnik.--.622223030.--.222.--.IM;Arbeitsschutz.--.622224010.--.222.--.IM;Kein Datum gef;21;
;12;Informations- und Kommunikationstechnik.--.622223030.--.222.--.IM;Mathematik 2.--.622222010.--.222.--.IM;Kein Datum gef;10;
;13;Informations- und Kommunikationstechnik.--.622223030.--.222.--.IM;Nachhaltigkeit, Umwelt, Verantwortung.--.622223010.--.222.--.IM;Kein Datum gef;20;
;14;Informations- und Kommunikationstechnik.--.622223030.--.222.--.IM;Projektmanagement und -entwicklung 1.--.622222050.--.222.--.IM;Kein Datum gef;2;
;15;Informations- und Kommunikationstechnik.--.622223030.--.222.--.IM;Wirtschaftslehre 3.--.622225040.--.222.--.IM;Kein Datum gef;2;
;16;Informations- und Kommunikationstechnik.--.622223030.--.222.--.IM;Wasserfachliche Grundlagen.--.622223050.--.222.--.IM;Kein Datum gef;20;
Informationstechnologien.--.7300.--.172.--.UL;;;;Kein Datum gef;;
;1;Informationstechnologien.--.7300.--.172.--.UL;Umwelt und Logistik.--.7400.--.172.--.UL;Kein Datum gef;6;
;2;Informationstechnologien.--.7300.--.172.--.UL;Umwelttechnologien.--.7200.--.172.--.UL;Kein Datum gef;6;
;3;Informationstechnologien.--.7300.--.172.--.UL;Transportmanagement.--.7500.--.172.--.UL;Kein Datum gef;7;
Informationsvisualisierung und Visual Analytics.--.17290.--.212.--.WI;;;;Kein Datum gef;;
;1;Informationsvisualisierung und Visual Analytics.--.17290.--.212.--.WI;Verteilte Systeme.--.17180.--.212.--.WI;Kein Datum gef;1;
;2;Informationsvisualisierung und Visual Analytics.--.17290.--.212.--.WI;Software Technik.--.1242124030.--.212.--.WI;Kein Datum gef;1;
;3;Informationsvisualisierung und Visual Analytics.--.17290.--.212.--.WI;Organisationspsychologie.--.17450.--.212.--.WI;Kein Datum gef;1;
Ingenieurbau und Ingenieurvermessung.--.3020.--.182.--.VB;;;;Kein Datum gef;;
;1;Ingenieurbau und Ingenieurvermessung.--.3020.--.182.--.VB;Programmieren 1.--.2050.--.182.--.VB;Kein Datum gef;1;
;2;Ingenieurbau und Ingenieurvermessung.--.3020.--.182.--.VB;Ausgleichungsrechnung und Statistik.--.3010.--.182.--.VB;Kein Datum gef;34;
;3;Ingenieurbau und Ingenieurvermessung.--.3020.--.182.--.VB;Physik.--.2020.--.182.--.VB;Kein Datum gef;3;
;4;Ingenieurbau und Ingenieurvermessung.--.3020.--.182.--.VB;Geodätische Mess- und Auswertetechnik (Positions- und Höhenbestimmung).--.2030.--.182.--.VB;Kein Datum gef;1;
;5;Ingenieurbau und Ingenieurvermessung.--.3020.--.182.--.VB;Mathematik 2.--.2010.--.182.--.VB;Kein Datum gef;3;
;6;Ingenieurbau und Ingenieurvermessung.--.3020.--.182.--.VB;Satellitengestütze Postitionsbestimmung.--.2040.--.182.--.VB;Kein Datum gef;2;
;7;Ingenieurbau und Ingenieurvermessung.--.3020.--.182.--.VB;Geodätische Mess- und Auswertetechnik (Polarverfahren).--.1020.--.182.--.VB;Kein Datum gef;2;
;8;Ingenieurbau und Ingenieurvermessung.--.3020.--.182.--.VB;Nahbereichsvermessung.--.4020.--.182.--.VB;Kein Datum gef;1;
;9;Ingenieurbau und Ingenieurvermessung.--.3020.--.182.--.VB;Grundlagen Geographischer Informationssysteme (GIS).--.1040.--.182.--.VB;Kein Datum gef;1;
;10;Ingenieurbau und Ingenieurvermessung.--.3020.--.182.--.VB;Räumliche Datenbanken und Datenmodellierung.--.3030.--.182.--.VB;Kein Datum gef;34;
;11;Ingenieurbau und Ingenieurvermessung.--.3020.--.182.--.VB;Geodaten.--.3040.--.182.--.VB;Kein Datum gef;34;
Ingenieurholzbau I.--.601924030.--.192.--.BB;;;;Kein Datum gef;;
;1;Ingenieurholzbau I.--.601924030.--.192.--.BB;Stahlbau I.--.601923030.--.192.--.BB;Kein Datum gef;4;
;2;Ingenieurholzbau I.--.601924030.--.192.--.BB;Kalkulation.--.601927030.--.192.--.BB;Kein Datum gef;1;
;3;Ingenieurholzbau I.--.601924030.--.192.--.BB;Betoninstandsetzung.--.17260.--.192.--.BB;Kein Datum gef;3;
;4;Ingenieurholzbau I.--.601924030.--.192.--.BB;Geotechnik III.--.601924010.--.192.--.BB;Kein Datum gef;31;
;5;Ingenieurholzbau I.--.601924030.--.192.--.BB;Baustatik I.--.601923010.--.192.--.BB;Kein Datum gef;15;
;6;Ingenieurholzbau I.--.601924030.--.192.--.BB;Wasserwirtschaft und Wasserbau I.--.601924060.--.192.--.BB;Kein Datum gef;27;
;7;Ingenieurholzbau I.--.601924030.--.192.--.BB;Baubetriebsführung.--.601926050.--.192.--.BB;Kein Datum gef;2;
;8;Ingenieurholzbau I.--.601924030.--.192.--.BB;Betontechnologie.--.17280.--.192.--.BB;Kein Datum gef;1;
;9;Ingenieurholzbau I.--.601924030.--.192.--.BB;Verkehrswesen IV.--.601927020.--.192.--.BB;Kein Datum gef;2;
;10;Ingenieurholzbau I.--.601924030.--.192.--.BB;Geotechnik II.--.601923020.--.192.--.BB;Kein Datum gef;4;
;11;Ingenieurholzbau I.--.601924030.--.192.--.BB;Schalung und Rüstung.--.17240.--.192.--.BB;Kein Datum gef;2;
;12;Ingenieurholzbau I.--.601924030.--.192.--.BB;Siedlungswasserwirtschaft I.--.601924050.--.192.--.BB;Kein Datum gef;22;
;13;Ingenieurholzbau I.--.601924030.--.192.--.BB;Wahlpflichtfach Baumanagement.--.601927050.--.192.--.BB;Kein Datum gef;1;
;14;Ingenieurholzbau I.--.601924030.--.192.--.BB;Stahlbetonbau I.--.601924020.--.192.--.BB;Kein Datum gef;22;
;15;Ingenieurholzbau I.--.601924030.--.192.--.BB;Planung und Konstruktion I.--.601926020.--.192.--.BB;Kein Datum gef;2;
;16;Ingenieurholzbau I.--.601924030.--.192.--.BB;Projektbasierte Produktion.--.601926030.--.192.--.BB;Kein Datum gef;2;
;17;Ingenieurholzbau I.--.601924030.--.192.--.BB;Verkehrswesen II.--.601924040.--.192.--.BB;Kein Datum gef;24;
;18;Ingenieurholzbau I.--.601924030.--.192.--.BB;Brandschutz.--.18010.--.192.--.BB;Kein Datum gef;1;
;19;Ingenieurholzbau I.--.601924030.--.192.--.BB;Arbeitsschutz.--.601925011.--.192.--.BB;Kein Datum gef;25;
;20;Ingenieurholzbau I.--.601924030.--.192.--.BB;Bauproduktionstechnik.--.601923060.--.192.--.BB;Kein Datum gef;8;
;21;Ingenieurholzbau I.--.601924030.--.192.--.BB;Wasserwesen.--.601923050.--.192.--.BB;Kein Datum gef;2;
;22;Ingenieurholzbau I.--.601924030.--.192.--.BB;Baubetriebsplanung.--.601924070.--.192.--.BB;Kein Datum gef;19;
;23;Ingenieurholzbau I.--.601924030.--.192.--.BB;Baubetriebswirtschaft I.--.601926040.--.192.--.BB;Kein Datum gef;1;
Ingenieurholzbau II.--.601927020.--.192.--.BB;;;;Kein Datum gef;;
;1;Ingenieurholzbau II.--.601927020.--.192.--.BB;Betoninstandsetzung.--.17260.--.192.--.BB;Kein Datum gef;13;
;2;Ingenieurholzbau II.--.601927020.--.192.--.BB;Baustatik II.--.601926020.--.192.--.BB;Kein Datum gef;7;
;3;Ingenieurholzbau II.--.601927020.--.192.--.BB;Spannbetonbau.--.601927030.--.192.--.BB;Kein Datum gef;20;
;4;Ingenieurholzbau II.--.601927020.--.192.--.BB;Geotechnik III.--.601924010.--.192.--.BB;Kein Datum gef;1;
;5;Ingenieurholzbau II.--.601927020.--.192.--.BB;Geotechnik IV.--.601927010.--.192.--.BB;Kein Datum gef;20;
;6;Ingenieurholzbau II.--.601927020.--.192.--.BB;Stahlbetonbau II.--.601926030.--.192.--.BB;Kein Datum gef;8;
;7;Ingenieurholzbau II.--.601927020.--.192.--.BB;Betontechnologie.--.17280.--.192.--.BB;Kein Datum gef;6;
;8;Ingenieurholzbau II.--.601927020.--.192.--.BB;Wahlpflichtfach Konstruktiver Ingenieurbau.--.601927050.--.192.--.BB;Kein Datum gef;13;
;9;Ingenieurholzbau II.--.601927020.--.192.--.BB;Schalung und Rüstung.--.17240.--.192.--.BB;Kein Datum gef;1;
;10;Ingenieurholzbau II.--.601927020.--.192.--.BB;Nachhaltigkeitsmanagement.--.17270.--.192.--.BB;Kein Datum gef;2;
;11;Ingenieurholzbau II.--.601927020.--.192.--.BB;Innovative Bauverfahren im Straßenbau.--.17210.--.192.--.BB;Kein Datum gef;1;
;12;Ingenieurholzbau II.--.601927020.--.192.--.BB;Bauproduktionstechnik.--.601923060.--.192.--.BB;Kein Datum gef;1;
;13;Ingenieurholzbau II.--.601927020.--.192.--.BB;Stahlbau II.--.601926040.--.192.--.BB;Kein Datum gef;3;
;14;Ingenieurholzbau II.--.601927020.--.192.--.BB;Detailbereiche im Stahlbetonbau.--.17130.--.192.--.BB;Kein Datum gef;6;
Innovative Bauverfahren im Straßenbau.--.17210.--.192.--.BB;;;;Kein Datum gef;;
;1;Innovative Bauverfahren im Straßenbau.--.17210.--.192.--.BB;Lean Construction.--.601927030.--.192.--.BB;Kein Datum gef;2;
;2;Innovative Bauverfahren im Straßenbau.--.17210.--.192.--.BB;Kalkulation.--.601927030.--.192.--.BB;Kein Datum gef;1;
;3;Innovative Bauverfahren im Straßenbau.--.17210.--.192.--.BB;Wahlpflichtfach Wasser- und Verkehrswesen.--.601927050.--.192.--.BB;Kein Datum gef;1;
;4;Innovative Bauverfahren im Straßenbau.--.17210.--.192.--.BB;Baustatik II.--.601926020.--.192.--.BB;Kein Datum gef;1;
;5;Innovative Bauverfahren im Straßenbau.--.17210.--.192.--.BB;Spannbetonbau.--.601927030.--.192.--.BB;Kein Datum gef;1;
;6;Innovative Bauverfahren im Straßenbau.--.17210.--.192.--.BB;Ingenieurholzbau II.--.601927020.--.192.--.BB;Kein Datum gef;1;
;7;Innovative Bauverfahren im Straßenbau.--.17210.--.192.--.BB;Geotechnik IV.--.601927010.--.192.--.BB;Kein Datum gef;1;
;8;Innovative Bauverfahren im Straßenbau.--.17210.--.192.--.BB;Baubetriebswirtschaft.--.601927020.--.192.--.BB;Kein Datum gef;2;
;9;Innovative Bauverfahren im Straßenbau.--.17210.--.192.--.BB;Baustatik I.--.601923010.--.192.--.BB;Kein Datum gef;1;
;10;Innovative Bauverfahren im Straßenbau.--.17210.--.192.--.BB;Baubetriebsführung.--.601926050.--.192.--.BB;Kein Datum gef;1;
;11;Innovative Bauverfahren im Straßenbau.--.17210.--.192.--.BB;Betontechnologie.--.17280.--.192.--.BB;Kein Datum gef;1;
;12;Innovative Bauverfahren im Straßenbau.--.17210.--.192.--.BB;Verkehrswesen IV.--.601927020.--.192.--.BB;Kein Datum gef;1;
;13;Innovative Bauverfahren im Straßenbau.--.17210.--.192.--.BB;Nachhaltigkeitsmanagement.--.17270.--.192.--.BB;Kein Datum gef;2;
;14;Innovative Bauverfahren im Straßenbau.--.17210.--.192.--.BB;Wahlpflichtfach Konstruktiver Ingenieurbau.--.601927050.--.192.--.BB;Kein Datum gef;1;
;15;Innovative Bauverfahren im Straßenbau.--.17210.--.192.--.BB;Wahlpflichtfach Baumanagement.--.601927050.--.192.--.BB;Kein Datum gef;3;
;16;Innovative Bauverfahren im Straßenbau.--.17210.--.192.--.BB;Abfallwirtschaft/-technik.--.17170.--.192.--.BB;Kein Datum gef;2;
;17;Innovative Bauverfahren im Straßenbau.--.17210.--.192.--.BB;Planung und Konstruktion I.--.601926020.--.192.--.BB;Kein Datum gef;1;
;18;Innovative Bauverfahren im Straßenbau.--.17210.--.192.--.BB;Projektbasierte Produktion.--.601926030.--.192.--.BB;Kein Datum gef;1;
;19;Innovative Bauverfahren im Straßenbau.--.17210.--.192.--.BB;Bauproduktionstechnik.--.601923060.--.192.--.BB;Kein Datum gef;1;
;20;Innovative Bauverfahren im Straßenbau.--.17210.--.192.--.BB;Baubetriebswirtschaft I.--.601926040.--.192.--.BB;Kein Datum gef;3;
Innovative Verfahren im Straßenbau.--.18200.--.162.--.VIS;;;;Kein Datum gef;;
;1;Innovative Verfahren im Straßenbau.--.18200.--.162.--.VIS;Binnenschifffahrt und Luftverkehr.--.2010.--.162.--.VIS;Kein Datum gef;1;
;2;Innovative Verfahren im Straßenbau.--.18200.--.162.--.VIS;Bemessung und Erhaltung von Straßen.--.2020.--.162.--.VIS;Kein Datum gef;1;
Innovative Verfahren im Straßenbau.--.19140.--.222.--.IM;;;;Kein Datum gef;;
;1;Innovative Verfahren im Straßenbau.--.19140.--.222.--.IM;Energie 3.--.622225010.--.222.--.IM;Kein Datum gef;4;
;2;Innovative Verfahren im Straßenbau.--.19140.--.222.--.IM;Wasserversorgung 2 Schwerpunkt Energie und Wasser.--.17120.--.222.--.IM;Kein Datum gef;1;
;3;Innovative Verfahren im Straßenbau.--.19140.--.222.--.IM;Bahntechnik.--.19100.--.222.--.IM;Kein Datum gef;6;
;4;Innovative Verfahren im Straßenbau.--.19140.--.222.--.IM;Wirtschaftslehre 4.--.622226010.--.222.--.IM;Kein Datum gef;13;
;5;Innovative Verfahren im Straßenbau.--.19140.--.222.--.IM;Wirtschaftslehre 5.--.622227010.--.222.--.IM;Kein Datum gef;9;
;6;Innovative Verfahren im Straßenbau.--.19140.--.222.--.IM;Projektmanagement und -entwicklung 2.--.622223070.--.222.--.IM;Kein Datum gef;1;
;7;Innovative Verfahren im Straßenbau.--.19140.--.222.--.IM;Verkehrsinfrastruktur 3.--.622226030.--.222.--.IM;Kein Datum gef;16;
;8;Innovative Verfahren im Straßenbau.--.19140.--.222.--.IM;Recht 2.--.622227020.--.222.--.IM;Kein Datum gef;11;
;9;Innovative Verfahren im Straßenbau.--.19140.--.222.--.IM;Projektmanagement und -entwicklung 3.--.622225020.--.222.--.IM;Kein Datum gef;1;
;10;Innovative Verfahren im Straßenbau.--.19140.--.222.--.IM;Abfallwirtschaft.--.622227050.--.222.--.IM;Kein Datum gef;11;
;11;Innovative Verfahren im Straßenbau.--.19140.--.222.--.IM;Siedlungswasserwirtschaft.--.622225030.--.222.--.IM;Kein Datum gef;4;
;12;Innovative Verfahren im Straßenbau.--.19140.--.222.--.IM;Baustellenmanagement Projektmanagement.--.18130.--.222.--.IM;Kein Datum gef;2;
;13;Innovative Verfahren im Straßenbau.--.19140.--.222.--.IM;Arbeitsschutz.--.622224010.--.222.--.IM;Kein Datum gef;1;
;14;Innovative Verfahren im Straßenbau.--.19140.--.222.--.IM;Brandschutz Projektmanagement.--.18100.--.222.--.IM;Kein Datum gef;10;
;15;Innovative Verfahren im Straßenbau.--.19140.--.222.--.IM;Laborpraktikum im Straßenbauwesen.--.19170.--.222.--.IM;Kein Datum gef;4;
;16;Innovative Verfahren im Straßenbau.--.19140.--.222.--.IM;Wasserfachliche Grundlagen.--.622223050.--.222.--.IM;Kein Datum gef;1;
Integriertes Arbeiten.--.3010.--.162.--.VIS;;;;Kein Datum gef;;
;1;Integriertes Arbeiten.--.3010.--.162.--.VIS;Internationaler ÖPNV.--.18140.--.162.--.VIS;Kein Datum gef;1;
;2;Integriertes Arbeiten.--.3010.--.162.--.VIS;Baustellenmanagement.--.18130.--.162.--.VIS;Kein Datum gef;1;
;3;Integriertes Arbeiten.--.3010.--.162.--.VIS;Laborpraktikum im Straßenwesen.--.18160.--.162.--.VIS;Kein Datum gef;2;
;4;Integriertes Arbeiten.--.3010.--.162.--.VIS;Nachhaltigkeitsmanagement.--.18290.--.162.--.VIS;Kein Datum gef;1;
Internat.Bauen und Bauvertragsrecht.--.19000.--.201.--.WBI;;;;Kein Datum gef;;
;1;Internat.Bauen und Bauvertragsrecht.--.19000.--.201.--.WBI;Betriebliches Immobilienmanagement.--.17000.--.201.--.WBI;Kein Datum gef;1;
;2;Internat.Bauen und Bauvertragsrecht.--.19000.--.201.--.WBI;Nachhaltige und ressourceneffiziente Geschossbauten.--.17160.--.201.--.WBI;Kein Datum gef;1;
;3;Internat.Bauen und Bauvertragsrecht.--.19000.--.201.--.WBI;Immobilienfinanzierung und-investition.--.17140.--.201.--.WBI;Kein Datum gef;1;
;4;Internat.Bauen und Bauvertragsrecht.--.19000.--.201.--.WBI;Immobilienwirtschaft II.--.642016010.--.201.--.WBI;Kein Datum gef;1;
;5;Internat.Bauen und Bauvertragsrecht.--.19000.--.201.--.WBI;Energietechnik II.--.642016020.--.201.--.WBI;Kein Datum gef;1;
;6;Internat.Bauen und Bauvertragsrecht.--.19000.--.201.--.WBI;Recht III.--.642017010.--.201.--.WBI;Kein Datum gef;1;
International Business Law.--.9011.--.132.--.GM;;;;Kein Datum gef;;
;1;International Business Law.--.9011.--.132.--.GM;Marketing Management.--.9004.--.132.--.GM;Kein Datum gef;3;
;2;International Business Law.--.9011.--.132.--.GM;Prüfungsvorleistung Economics and Business Information.--.1011.--.132.--.GM;Kein Datum gef;33;
;3;International Business Law.--.9011.--.132.--.GM;Master-Thesis.--.8999.--.132.--.GM;Kein Datum gef;3;
International Relations.--.19290.--.222.--.IM;;;;Kein Datum gef;;
;1;International Relations.--.19290.--.222.--.IM;Wirtschaftslehre 5.--.622227010.--.222.--.IM;Kein Datum gef;1;
;2;International Relations.--.19290.--.222.--.IM;Community Development Service Learning.--.19300.--.222.--.IM;Kein Datum gef;1;
;3;International Relations.--.19290.--.222.--.IM;Projektmanagement und -entwicklung 2.--.622223070.--.222.--.IM;Kein Datum gef;1;
;4;International Relations.--.19290.--.222.--.IM;Recht 2.--.622227020.--.222.--.IM;Kein Datum gef;1;
;5;International Relations.--.19290.--.222.--.IM;Abfallwirtschaft.--.622227050.--.222.--.IM;Kein Datum gef;1;
Internationaler ÖPNV.--.18140.--.162.--.VIS;;;;Kein Datum gef;;
;1;Internationaler ÖPNV.--.18140.--.162.--.VIS;Integriertes Arbeiten.--.3010.--.162.--.VIS;Kein Datum gef;1;
;2;Internationaler ÖPNV.--.18140.--.162.--.VIS;Nachhaltigkeitsmanagement.--.18290.--.162.--.VIS;Kein Datum gef;1;
Internationaler ÖPNV.--.19130.--.222.--.IM;;;;Kein Datum gef;;
;1;Internationaler ÖPNV.--.19130.--.222.--.IM;Energie 3.--.622225010.--.222.--.IM;Kein Datum gef;3;
;2;Internationaler ÖPNV.--.19130.--.222.--.IM;Bahntechnik.--.19100.--.222.--.IM;Kein Datum gef;2;
;3;Internationaler ÖPNV.--.19130.--.222.--.IM;Wirtschaftslehre 4.--.622226010.--.222.--.IM;Kein Datum gef;2;
;4;Internationaler ÖPNV.--.19130.--.222.--.IM;Wirtschaftslehre 5.--.622227010.--.222.--.IM;Kein Datum gef;6;
;5;Internationaler ÖPNV.--.19130.--.222.--.IM;Brandschutz Projektmanagement.--.18100.--.222.--.IM;Kein Datum gef;2;
